               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.046549,            0.016789,            0.026143,             0.58538,                0.75,             0.73029,             0.30866,            0.030166,             0.01002,            0.023474,             0.00802,             0.00802,             0.00802
                  62,             0.04712,            0.016075,            0.026208,             0.47572,             0.76935,             0.79631,             0.38741,            0.029242,            0.009976,            0.017102,            0.007987,            0.007987,            0.007987
                  63,            0.045324,            0.014934,            0.025738,               0.433,             0.74444,             0.70911,             0.38884,            0.027879,             0.01253,            0.017322,            0.007954,            0.007954,            0.007954
                  64,            0.046075,            0.015518,            0.023179,             0.47158,             0.83388,             0.78269,             0.40715,            0.027886,             0.01022,            0.016617,            0.007921,            0.007921,            0.007921
                  65,            0.045745,            0.016051,            0.025295,             0.78481,             0.46798,             0.67296,             0.27344,            0.029321,            0.014227,            0.022046,            0.007888,            0.007888,            0.007888
                  66,            0.044528,            0.016669,             0.02604,              0.6698,             0.86111,             0.87417,              0.3668,            0.025783,           0.0067053,            0.015555,            0.007855,            0.007855,            0.007855
                  67,              0.0464,            0.017205,            0.025139,             0.52929,             0.83185,             0.74897,             0.33562,            0.028571,           0.0076741,            0.019789,            0.007822,            0.007822,            0.007822
                  68,            0.048697,               0.015,            0.029703,             0.38518,             0.63473,             0.55775,             0.24539,            0.029837,           0.0064469,            0.018819,            0.007789,            0.007789,            0.007789
                  69,            0.046913,            0.014682,             0.02211,             0.58432,             0.74779,             0.88918,             0.47802,            0.023205,           0.0067331,            0.017381,            0.007756,            0.007756,            0.007756
                  70,             0.04358,            0.014807,            0.022596,             0.69605,             0.76842,             0.85377,             0.42598,            0.022104,           0.0077285,            0.011993,            0.007723,            0.007723,            0.007723
                  71,            0.043514,            0.015919,            0.024437,             0.60142,             0.84025,             0.85317,             0.46717,            0.023831,            0.007797,           0.0097046,             0.00769,             0.00769,             0.00769
                  72,            0.046638,            0.015588,            0.026199,             0.48263,             0.93576,              0.8745,             0.40065,            0.028964,           0.0069844,            0.011133,            0.007657,            0.007657,            0.007657
                  73,            0.048851,            0.015751,            0.023497,             0.73824,             0.68364,             0.84653,             0.41386,            0.028633,           0.0068829,            0.012728,            0.007624,            0.007624,            0.007624
                  74,            0.043909,              0.0164,            0.025265,             0.54766,             0.78903,             0.84653,             0.38511,            0.025774,            0.008319,            0.013925,            0.007591,            0.007591,            0.007591
                  75,            0.043017,            0.014679,            0.022465,             0.66561,             0.89214,             0.82667,             0.38843,             0.02817,            0.007084,           0.0096657,            0.007558,            0.007558,            0.007558
                  76,            0.043919,            0.014381,            0.018585,             0.69954,             0.89998,             0.95007,             0.46831,            0.024985,           0.0085534,           0.0093567,            0.007525,            0.007525,            0.007525
                  77,            0.041506,            0.014177,            0.017472,             0.57103,             0.72835,             0.79425,             0.39907,            0.029164,            0.011249,           0.0066902,            0.007492,            0.007492,            0.007492
                  78,            0.042127,            0.014613,            0.019729,             0.68827,             0.77211,              0.8561,             0.43188,            0.024431,           0.0073632,           0.0066147,            0.007459,            0.007459,            0.007459
                  79,            0.039676,             0.01409,            0.017237,              0.6563,             0.81944,             0.81498,             0.40819,             0.02845,           0.0072997,           0.0065495,            0.007426,            0.007426,            0.007426
                  80,            0.047419,            0.016252,            0.018122,             0.71811,             0.80803,             0.91467,             0.42891,            0.030202,           0.0071547,            0.005064,            0.007393,            0.007393,            0.007393
                  81,            0.047536,            0.015992,            0.017871,             0.93276,             0.89372,             0.98667,             0.45192,            0.027468,           0.0059551,           0.0040667,             0.00736,             0.00736,             0.00736
                  82,            0.042928,            0.014978,            0.016576,             0.71277,               0.875,             0.94071,             0.47307,            0.027494,           0.0060747,           0.0035717,            0.007327,            0.007327,            0.007327
                  83,            0.043159,             0.01518,            0.017805,             0.76003,             0.86378,             0.90631,             0.41104,            0.025179,           0.0066817,           0.0052986,            0.007294,            0.007294,            0.007294
                  84,            0.043579,            0.015081,            0.018335,             0.79954,             0.92661,             0.93568,             0.41602,            0.026205,           0.0061569,            0.004319,            0.007261,            0.007261,            0.007261
                  85,            0.043677,            0.014057,            0.014634,             0.62375,             0.98483,             0.88581,             0.45883,            0.027079,           0.0063692,            0.003867,            0.007228,            0.007228,            0.007228
                  86,             0.04328,            0.013884,            0.018043,             0.55832,             0.73611,             0.71132,             0.38349,            0.029962,           0.0069154,           0.0031528,            0.007195,            0.007195,            0.007195
                  87,            0.043674,            0.013704,            0.016412,               0.898,             0.91134,               0.995,             0.46802,            0.025946,           0.0064206,           0.0026711,            0.007162,            0.007162,            0.007162
                  88,            0.040377,             0.01465,            0.016475,             0.75632,             0.75833,              0.8146,             0.41044,            0.026944,            0.010203,           0.0069008,            0.007129,            0.007129,            0.007129
                  89,            0.044281,            0.014362,            0.016256,             0.80662,             0.89453,               0.901,             0.44701,            0.027113,           0.0070281,           0.0044769,            0.007096,            0.007096,            0.007096
                  90,            0.041033,            0.015478,            0.016357,             0.65218,                0.75,             0.77834,             0.34925,            0.031017,           0.0062967,            0.004557,            0.007063,            0.007063,            0.007063
                  91,              0.0451,            0.014608,            0.016812,             0.86673,             0.91667,             0.93548,             0.49182,            0.023304,           0.0061545,            0.003677,             0.00703,             0.00703,             0.00703
                  92,            0.042541,            0.015556,            0.014684,             0.77382,             0.90999,             0.81884,             0.40325,            0.023832,           0.0060983,            0.003606,            0.006997,            0.006997,            0.006997
                  93,            0.044257,            0.013831,            0.014207,             0.93879,             0.89935,             0.96722,              0.4305,             0.02692,           0.0065224,           0.0035042,            0.006964,            0.006964,            0.006964
                  94,            0.042141,            0.013629,               0.015,             0.87277,             0.83333,             0.88502,             0.47499,            0.024089,           0.0076865,           0.0037897,            0.006931,            0.006931,            0.006931
                  95,            0.042112,            0.015935,            0.014679,             0.78347,             0.83333,             0.86352,             0.49333,             0.02445,           0.0072783,           0.0030933,            0.006898,            0.006898,            0.006898
                  96,            0.039995,            0.014189,            0.014363,             0.83906,             0.91667,             0.93944,             0.58038,             0.02407,           0.0065726,           0.0027872,            0.006865,            0.006865,            0.006865
                  97,            0.042007,            0.015312,            0.014385,             0.82224,             0.87513,             0.91188,             0.50974,            0.022958,           0.0058761,           0.0035133,            0.006832,            0.006832,            0.006832
                  98,            0.041984,            0.013745,            0.012463,             0.75853,             0.86746,             0.96722,             0.52834,            0.025295,           0.0063668,            0.003126,            0.006799,            0.006799,            0.006799
                  99,            0.041233,            0.013661,            0.010371,              0.7029,             0.91667,             0.86026,             0.42781,             0.02874,           0.0058505,           0.0032547,            0.006766,            0.006766,            0.006766
                 100,            0.042025,            0.016514,            0.011009,             0.87071,             0.86725,              0.9144,             0.54215,            0.024363,            0.005808,            0.003578,            0.006733,            0.006733,            0.006733
                 101,            0.046436,            0.014312,            0.013635,             0.82722,             0.88986,             0.96722,             0.44967,            0.030388,           0.0057919,            0.003772,              0.0067,              0.0067,              0.0067
                 102,            0.041901,             0.01544,            0.013824,             0.95358,             0.90583,             0.96722,             0.48014,            0.025613,           0.0065727,           0.0038395,            0.006667,            0.006667,            0.006667
                 103,             0.04385,            0.013631,            0.014023,             0.82188,             0.81363,             0.89153,             0.40527,            0.031138,           0.0076756,           0.0038063,            0.006634,            0.006634,            0.006634
                 104,            0.039866,            0.015697,           0.0098907,             0.90861,             0.83333,             0.87187,             0.47196,            0.024965,           0.0062596,            0.003499,            0.006601,            0.006601,            0.006601
                 105,            0.040977,             0.01463,            0.012412,             0.85725,             0.78453,             0.86306,             0.45187,            0.029785,           0.0064892,           0.0034733,            0.006568,            0.006568,            0.006568
                 106,            0.042099,            0.013667,            0.011795,             0.92729,             0.76205,             0.89431,             0.53559,            0.025373,           0.0062856,           0.0034115,            0.006535,            0.006535,            0.006535
                 107,            0.040829,            0.012788,            0.010563,             0.94345,             0.81218,             0.90333,             0.50927,            0.022357,           0.0062416,           0.0050434,            0.006502,            0.006502,            0.006502
                 108,            0.041245,            0.013518,             0.01076,             0.92482,             0.81372,             0.90194,             0.46167,            0.024362,           0.0063906,           0.0062302,            0.006469,            0.006469,            0.006469
                 109,            0.043067,            0.013191,            0.012641,             0.94237,             0.75765,             0.92556,             0.48567,            0.026777,           0.0072216,           0.0040329,            0.006436,            0.006436,            0.006436
